S.No,State,District,Sector/Industry,Company Name,Internship Mode,Address,Opportunities Count,Duration of Internship,Required Skills,Application Link
1,Maharashtra,Mumbai,IT/Software,Tata Consultancy Services Ltd,Offline,"Floor 5, Alpha Tower, Andheri West, Mumbai, Maharashtra",5,3 Months,"Java, SQL, Problem Solving, Software Development",https://example.com/apply/1
2,Maharashtra,Pune,Manufacturing,Bajaj Auto Ltd,Online,,3,2 Months,"Mechanical Engineering, AutoCAD, Manufacturing Processes",https://example.com/apply/2
3,Karnataka,Bengaluru,IT/Software,Infosys Ltd,Offline,"3rd Floor, Sigma Building, Whitefield, Bengaluru, Karnataka",8,4 Months,"Java, Python, Data Structures, Algorithms",https://example.com/apply/3
4,Telangana,Hyderabad,Finance/Banking,HDFC Bank Ltd,Online,,4,2 Months,"Excel, Financial Analysis, Banking Knowledge",https://example.com/apply/4
5,Gujarat,Ahmedabad,Chemicals,Reliance Industries Ltd,Offline,"Block B, Horizon Tower, Navrangpura, Ahmedabad, Gujarat",6,6 Months,"Chemistry Knowledge, Lab Techniques, Safety Protocols",https://example.com/apply/5
6,Maharashtra,Mumbai,Telecom,Reliance Jio Infocomm Ltd,Online,,7,3 Months,"Networking, Python, Telecommunications",https://example.com/apply/6
7,Tamil Nadu,Chennai,IT/Software,Wipro Ltd,Offline,"7th Floor, Crescent Building, T Nagar, Chennai, Tamil Nadu",5,4 Months,"Java, SQL, Web Development, Software Testing",https://example.com/apply/7
8,Karnataka,Bengaluru,IT/Software,Cognizant Technology Solutions India Pvt Ltd,Online,,6,2 Months,"Python, Cloud Computing, Data Analysis",https://example.com/apply/8
9,Maharashtra,Pune,Automobile,Tata Motors Ltd,Offline,"2nd Floor, Sapphire Building, Kalyani Nagar, Pune, Maharashtra",4,3 Months,"Mechanical Engineering, CAD, Automotive Design",https://example.com/apply/9
10,Delhi,New Delhi,Banking/Finance,ICICI Bank Ltd,Online,,5,1 Month,"Financial Modelling, Excel, Banking Knowledge",https://example.com/apply/10
11,Maharashtra,Mumbai,IT/Software,HCL Technologies Ltd,Offline,"4th Floor, Orion Tower, Bandra Kurla Complex, Mumbai, Maharashtra",7,6 Months,"Java, Python, Software Development, Cloud Computing",https://example.com/apply/11
